t,impulso,maniobra,v,rumbo,fx,fy,normF,dx,dy
1750083173.913,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083174.412,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083174.908,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083175.407,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083175.903,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083176.403,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083176.903,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083177.404,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083177.904,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083178.409,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083178.919,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083179.417,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083179.945,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083180.432,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083180.951,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083181.447,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083181.95,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083182.448,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083182.961,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083183.459,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083183.955,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083184.455,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083184.952,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083185.452,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083185.966,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083186.476,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083186.974,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083187.486,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083187.997,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083188.495,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083189.0,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083189.497,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083189.995,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083190.493,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083191.005,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083191.501,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083192.0,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083192.499,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083192.994,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083193.522,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083194.036,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083194.532,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083195.029,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083195.532,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083196.031,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083196.528,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083197.027,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083197.54,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083198.04,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083198.525,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083199.038,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083199.535,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083200.035,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083200.539,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
